Unnamed: 0,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sňatky,81262,90953,71973,74060,66033,58440,54956,53896,57804,55027,53523,55321,52374,52732,48943,51447,51829,52860,57157,52457,47862,46746,45137,45206,43499,45575,48191,50768
Průměrný věk svobodných ženichů,24.58,23.96,24.68939963806783,24.82364168203224,25.380609184953315,26.149203653654485,26.684314731328072,27.11843702356609,27.648163257188866,28.11348985898484,28.524063354006838,28.856018874508603,29.287751871263744,29.719977111602244,30.25996226373315,30.505768648683848,30.754581237007063,31.006304499923043,31.167319778384755,31.448767147593237,31.958376074759876,32.178083315031145,32.18196747156531,32.25101917232371,32.306912194324255,32.30630466629238,32.35546478416,32.195213477498115
Průměrný věk svobodných nevěst,21.83,21.43,22.313416362979343,22.564083810007066,23.228307744633042,23.929814914334646,24.585684037106127,24.88369492415824,25.43201624418614,25.768057414744387,26.234270940636023,26.465346320685793,26.891836952654145,27.272019470831122,27.746523220785964,27.988633629640013,28.12939318496207,28.442498989622774,28.56150015127121,28.771296221988894,29.205808144619052,29.410391925412053,29.575338380450955,29.580204113633325,29.819640982089837,29.84446579847891,29.830769452240123,29.87282090806491
Rozvody,31376,32055,29366,28572,30227,30939,31135,33113,32465,32363,23657,29704,31586,31758,32824,33060,31288,31415,31129,31300,29133,30783,28113,26402,27895,26764,26083,24996
