Unnamed: 0,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Živě narození,128356,130564,129354,121705,121025,106579,96097,90446,90657,90535,89471,90910,90715,92786,93685,97664,102211,105831,114632,119570,118348,117153,108673,108576,106751,109860,110764,112663
Průměrný věk matky při narození prvního dítěte,22.480817545992515,22.468646645740293,22.429350075245015,22.506862347603153,22.606845945509214,22.916693465878797,23.321813036964965,23.67601476923393,24.03693062729592,24.351082979257782,24.593119337818226,24.941681301123037,25.34481102441666,25.62780005794515,25.925826035067136,26.31226683725148,26.610701027332823,26.942693403050864,27.140574517489142,27.331795112096753,27.44426357252765,27.624593881813794,27.784768134112166,27.916957131369166,28.08276012154046,28.136565707764916,28.223558582096807,28.211764587139783
z toho umělá přerušení těhotenství,111683,111268,106042,94180,70634,54836,49531,48086,45022,42959,39382,34623,32528,31142,29298,27574,26453,25352,25414,25760,24636,23998,24055,23032,22542,21893,20403,20406
